名称,价格,店铺评分,商品评价,服务态度,物流速度,品牌,商品毛重,企口类型,底板厚度,类别,店铺,晒图,好评,中评,差评
塞纳春天地板环保强化复合木地板客厅卧室地暖地板 SN0215卢瓦尔河,99.00 ,9.64,9.61,9.62,9.63,塞纳春天,1.0kg,V型槽,12mm,强化复合地板,塞纳春天旗舰店,12,800,1,0
塞纳春天地板强化复合地板 12mm防水耐磨客厅卧室地暖木地板 1322珍品柚木,89.00 ,9.78,9.73,9.77,9.79,塞纳春天,2.1kg,单锁口,12mm,强化复合地板,塞纳春天地板旗舰店,203,3200,7,7
塞纳春天地板强化复合地板 12mm防水耐磨木地板 辅料安装全包价 平方,129.00 ,9.78,9.73,9.77,9.79,塞纳春天,20.0kg,单锁口,12mm,强化复合地板,塞纳春天地板旗舰店,1,200,0,0
塞纳春天地板强化复合地板 防水耐磨客厅卧室地暖木地板 30平地板套餐全包价,3580.00 ,9.64,9.61,9.62,9.63,塞纳春天,2.1kg,单锁口,12mm,强化复合地板,塞纳春天旗舰店,0,20,0,0
塞纳春天地板强化复合木地板 客厅卧室耐磨防水地板 30平地板全包套餐,4080.00 ,9.78,9.73,9.77,9.79,塞纳春天,22.0kg,V型槽,10mm,强化复合地板,塞纳春天地板旗舰店,9,200,1,2
塞纳春天地板强化复合木地板12mm 防水适用地暖高耐磨客厅卧室地热用 C9852,158.00 ,9.78,9.73,9.77,9.79,塞纳春天,2.1kg,单锁口,12mm,强化复合地板,塞纳春天地板旗舰店,0,3,1,0
塞纳春天地板强化复合木地板12mm 防水适用地暖高耐磨客厅卧室地热用 KS006左岸之春,189.00 ,9.78,9.73,9.77,9.79,塞纳春天,22.0kg,V型槽,12mm,强化复合地板,塞纳春天地板旗舰店,8,4,0,0
塞纳春天地板强化复合木地板12mm防水防滑高耐磨客厅卧室适用地热地板 美国白橡木C9859,159.00 ,9.64,9.6,9.62,9.65,塞纳春天,1.0kg,V型槽,12mm,强化复合地板,塞纳春天木门旗舰店,14,200,1,0
塞纳春天地板强化复合木地板12mm进口环保防水耐磨客厅卧室地暖地板 506布鸿城堡,168.00 ,9.64,9.6,9.62,9.65,塞纳春天,1.0kg,V型槽,12mm,强化复合地板,塞纳春天木门旗舰店,0,20,0,0
塞纳春天地板强化复合木地板12mm进口环保防水耐磨客厅卧室地暖地板 YD05 暮光之城 YDO5,169.00 ,9.78,9.73,9.77,9.79,塞纳春天,2.1kg,单锁口,12mm,强化复合地板,塞纳春天地板旗舰店,0,0,0,0
塞纳春天地板强化复合木地板12mm进口环保防水耐磨客厅卧室地暖地板YD03 法国梧桐 YD03,139.00 ,9.78,9.73,9.77,9.79,塞纳春天,2.1kg,单锁口,12mm,强化复合地板,塞纳春天地板旗舰店,0,0,0,0
塞纳春天地板实木复合地板15mm 仿古浮雕2mm加厚真木皮实木地板 神秘帝国X8001,269.00 ,9.78,9.73,9.77,9.79,塞纳春天,2.1kg,V型槽,15mm,实木复合地板,塞纳春天地板旗舰店,16,600,0,0
塞纳春天强化复合地板 12mm仿古防水耐磨环保客厅卧室地暖木地板 SN012布鸿城堡-辅料全包/平,168.00 ,9.64,9.61,9.62,9.63,塞纳春天,20.0kg,单锁口,12mm,强化复合地板,塞纳春天旗舰店,0,60,0,0
塞纳春天强化复合木地板仿实木地板样板,10.00 ,9.78,9.73,9.77,9.79,塞纳春天,210.00g,单锁口,12mm,强化复合地板,塞纳春天地板旗舰店,1,20,0,0
赛杉  红檀香纯实木地板18mm 厂家直销 910*125*18 平扣,1098.00 ,9.73,9.73,9.75,9.77,赛杉,26.0kg,平口,18mm,实木地板,赛杉家居旗舰店,0,0,0,0
赛杉 纯实木地板非洲纽墩豆木地板柚木实木地板大厂家直销环保地热锁扣免龙骨 纽墩豆SX8866,288.00 ,9.73,9.73,9.75,9.77,赛杉,20.0kg,双锁口,18mm,实木地板,赛杉家居旗舰店,0,0,0,0
赛杉 金刚柚木纯实木地板原木刺槐天然木蜡油无甲醛木地板A级环保 910*155*18,380.00 ,9.73,9.73,9.75,9.77,赛杉,30.0kg,平口,18mm,实木地板,赛杉家居旗舰店,0,0,0,0
赛杉 进口缅甸柚木纯实木地板大厂家直销自然环保 900*117*18 锁扣,926.00 ,9.73,9.73,9.75,9.77,赛杉,26.0kg,双锁口,18mm,实木地板,赛杉家居旗舰店,0,0,0,0
赛杉 美国宾州红橡纯实木地板 AAA级进口大自然原木橡木厂家直销 910*95*18,218.00 ,9.73,9.73,9.75,9.77,赛杉,30.0kg,平口,其他,实木地板,赛杉家居旗舰店,0,0,0,0
赛杉 缅甸柚木纯实木地板18mm原木 天然木蜡油无甲醛厂家直销 910*95*18,588.00 ,9.73,9.73,9.75,9.77,赛杉,30.0kg,平口,18mm,实木地板,赛杉家居旗舰店,0,0,0,0
赛杉 拼花纯实木地板18mm 厂家直销仿古浮雕 地暖背景墙,288.00 ,9.73,9.73,9.75,9.77,赛杉,26.0kg,平口,18mm,实木地板,赛杉家居旗舰店,0,0,0,0
赛杉 拼花多层复合木地板 纯手工艺术雕刻拼花地板,288.00 ,9.73,9.73,9.75,9.77,赛杉,20.0kg,平口,15mm,实木复合地板,赛杉家居旗舰店,0,1,0,0
赛杉 拼花实木多层复合地板 厂家直销木地板纯手工雕刻,738.00 ,9.73,9.73,9.75,9.77,赛杉,20.0kg,平口,15mm,实木复合地板,赛杉家居旗舰店,0,0,0,0
赛杉 人字拼实木地板 进口原木厂家直销纯手工艺术,178.00 ,9.73,9.73,9.75,9.77,赛杉,26.0kg,平口,15mm,实木复合地板,赛杉家居旗舰店,0,0,0,0
赛杉 实木多层复合拼花 手工拼花艺术木地板背景墙,638.00 ,9.73,9.73,9.75,9.77,赛杉,20.0kg,平口,15mm,实木复合地板,赛杉家居旗舰店,0,0,0,0
赛杉 香花梨纯实木地板原木珍品 天然木蜡油无甲醛大厂家自然环保 910*125*18,2188.00 ,9.73,9.73,9.75,9.77,赛杉,30.0kg,平口,18mm,实木地板,赛杉家居旗舰店,0,0,0,0
赛杉 橡木木蜡油纯实木地板 无甲醛北欧进口A级18mm原木厂家直销专利产品 610*95*18,228.00 ,9.73,9.73,9.75,9.77,赛杉,30.0kg,平口,18mm,实木地板,赛杉家居旗舰店,20,100,0,0
赛杉 橡木实木多层复合拼花地板 厂家直销木地板,278.00 ,9.73,9.73,9.75,9.77,赛杉,20.0kg,平口,15mm,实木复合地板,赛杉家居旗舰店,0,0,0,0
赛杉 橡木实木复合地板15mm 厂家直销 地暖木地板 DD5019,162.00 ,9.73,9.73,9.75,9.77,赛杉,26.0kg,平口,15mm,实木复合地板,赛杉家居旗舰店,0,1,0,0
赛杉 紫檀纯实木地板大厂家直销自然环保重蚁木 610*125*18,238.00 ,9.73,9.73,9.75,9.77,赛杉,26.0kg,平口,18mm,实木地板,赛杉家居旗舰店,6,9,0,0
三层实木地板枫木拼花大板环保地暖仿古背景墙15mm厚复合木地板 枫木 2196*185*15mm,228.00 ,-----,-----,-----,-----,和邦盛世（HOMONISIA）,23.0kg,平口,15mm,实木复合地板,和邦盛世家居旗舰店,0,0,0,0
森卡弗木地板B6 三层复合地板 环保E0级 出口欧美 橡木地暖 拉丝工艺 黑色幽默,350.00 ,9.6,9.63,9.97,9.42,森卡弗（SENCOFORR）,25.0kg,平口,14mm,实木复合地板,森卡弗官方旗舰店,0,5,0,0
森卡弗木地板H3 橡木三层实木复合地板 E0级地暖仿古 厂家直销 出口欧美 又见凯旋门,350.00 ,9.6,9.63,9.97,9.42,森卡弗（SENCOFORR）,25.0kg,平口,14mm,实木复合地板,森卡弗官方旗舰店,4,4,0,0
森卡弗木地板L2 三层实木木地板 E0级地暖 橡木大板 耐磨漆,220.00 ,9.6,9.63,9.97,9.42,森卡弗（SENCOFORR）,20.0kg,平口,14mm,实木复合地板,森卡弗官方旗舰店,0,3,0,0
森卡弗木地板L3 实木木地板 E0级地暖 橡木三层 出口欧美 耐磨漆,220.00 ,9.6,9.63,9.97,9.42,森卡弗（SENCOFORR）,20.0kg,平口,14mm,实木复合地板,森卡弗官方旗舰店,0,0,0,0
森卡弗木地板L5 木地板 E0级地暖 橡木地板  欧盟CE认证 自带龙骨,220.00 ,9.6,9.63,9.97,9.42,森卡弗（SENCOFORR）,20.0kg,平口,14mm,实木复合地板,森卡弗官方旗舰店,0,0,0,0
森卡弗木地板M1 橡木拼花地板 E0级地暖  出口欧美  厂家直销 本色拼花,399.00 ,9.6,9.63,9.97,9.42,森卡弗（SENCOFORR）,26.0kg,平口,14mm,实木复合地板,森卡弗官方旗舰店,0,1,0,0
森卡弗木地板S1 实木复合地板 橡木木蜡油  E0级地暖 三层长宽板,400.00 ,9.6,9.63,9.97,9.42,森卡弗（SENCOFORR）,25.0kg,平口,15mm,实木复合地板,森卡弗官方旗舰店,0,2,0,0
森卡弗木地板W1 木地板美国黑胡桃实木复合地板 E0级地暖 三层长宽板,420.00 ,9.6,9.63,9.97,9.42,森卡弗（SENCOFORR）,25.0kg,平口,15mm,实木复合地板,森卡弗官方旗舰店,4,4,0,0
森林气息 地板个性花色强化复合地板7mm环保商用耐磨简约时尚木地板 JY971,59.00 ,9.66,9.7,9.65,9.63,森林气息（FOREST BREATH）,15.0kg,V型槽,7mm,强化复合地板,森林气息旗舰店,0,1,0,0
森林气息 地板强化复合地板耐磨防水地暖商用7mm现代时尚个性花色木地板 JY973,39.00 ,9.66,9.7,9.65,9.63,森林气息（FOREST BREATH）,15.0kg,V型槽,7mm,强化复合地板,森林气息旗舰店,5,500,0,3
森尼地板 强化复合木地板 防水耐磨环保 卧室地暖家用 伯利兹,188.00 ,9.12,9.27,9.34,9.23,森尼（senni）,20.0kg,V型槽,12mm,强化复合地板,森尼家居旗舰店,0,3,0,0
生活家 厂家直销除醛新上市地热环保实木复合木地板八达通（满25平起拍）,359.00 ,9.33,9.31,9.27,9.38,生活家（ELEGANTLIVING）,23.0kg,平口,15mm,实木复合地板,生活家地板旗舰店,0,0,0,0
生活家 厂家直销除醛新上市地热环保实木复合木地板梦幻岛（满25平起拍）,359.00 ,9.33,9.31,9.27,9.38,生活家（ELEGANTLIVING）,23.0kg,平口,15mm,实木复合地板,生活家地板旗舰店,0,0,0,0
生活家 厂家直销除醛新上市地热环保实木复合木地板圆舞曲（满25平起拍）,359.00 ,9.33,9.31,9.27,9.38,生活家（ELEGANTLIVING）,23.0kg,平口,15mm,实木复合地板,生活家地板旗舰店,0,0,0,0
生活家 多层实木复合木地板 15mm桦木 地热 耐磨 防潮防变形 布拉格之秋 布拉格之恋 丹枫迎秋,249.00 ,9.82,9.77,9.78,9.78,生活家,22.5kg,平口,15mm,实木复合地板,道新家居专营店,2,4,0,0
生活家 多层实木复合木地板 15mm桦木 地热 耐磨 防潮防变形 春色满园,219.00 ,9.82,9.77,9.78,9.78,生活家,22.5kg,平口,15mm,实木复合地板,道新家居专营店,4,6,0,0
生活家 多层实木复合木地板 15mm桦木 地热 耐磨 防潮防变形 冬季暖阳,249.00 ,9.82,9.77,9.78,9.78,生活家,22.5kg,平口,15mm,实木复合地板,道新家居专营店,0,10,0,0
生活家 多层实木复合木地板 15mm桦木手工擦色 地热 耐磨 防潮防变形 湖斯广场,209.00 ,9.82,9.77,9.78,9.78,生活家,17.5kg,平口,15mm,实木复合地板,道新家居专营店,79,400,0,0
生活家 多层实木复合木地板 15mm手刮仿古 桦木 地热 耐磨 防潮 高堡星辰,209.00 ,9.82,9.77,9.78,9.78,生活家,17.5kg,平口,15mm,实木复合地板,道新家居专营店,5,20,0,0
生活家 多层实木复合木地板 15mm手刮仿古纯手工 桦木 地热 耐磨 防潮 布拉格 仿古色 丹枫迎秋,249.00 ,9.82,9.77,9.78,9.78,生活家,22.5kg,平口,15mm,实木复合地板,道新家居专营店,74,500,3,2
生活家 家直销除甲醛首发 地热环保实木复合木地板八达通,698.00 ,9.82,9.77,9.78,9.78,生活家,10.0kg,平口,15mm,实木复合地板,道新家居专营店,0,0,0,0
生活家（ELEGANTLIVING)多层实木复合木地板DC115 科技木环保 15mm,179.00 ,9.33,9.31,9.27,9.38,生活家（ELEGANTLIVING）,1.0kg,平口,15mm,实木复合地板,生活家地板旗舰店,0,0,0,0
生活家（ELEGANTLIVING)桦木多层实木复合木地板DC802 仿古耐磨 15mm,218.00 ,9.33,9.31,9.27,9.38,生活家（ELEGANTLIVING）,22.5kg,平口,15mm,实木复合地板,生活家地板旗舰店,0,0,0,0
生活家（ELEGANTLIVING)楝木多层实木复合木地板DC506 除醛浮雕地板15mm,698.00 ,9.33,9.31,9.27,9.38,生活家（ELEGANTLIVING）,23.0kg,平口,15mm,实木复合地板,生活家地板旗舰店,0,0,0,0
生活家（ELEGANTLIVING)强化复合地板QH103 家用防水 12mm轻舞飞扬,128.00 ,9.33,9.31,9.27,9.38,生活家（ELEGANTLIVING）,17.8kg,单锁口,12mm,强化复合地板,生活家地板旗舰店,0,0,0,0
生活家巴洛克 实木复合地板15mm仿古耐磨多层木地板 瑞格风情,388.00 ,9.33,9.31,9.27,9.38,生活家（ELEGANTLIVING）,22.0kg,平口,15mm,实木复合地板,生活家地板旗舰店,0,0,0,0
生活家巴洛克地板 18mm纯实木地板 厂家直销 木地板 番龙眼  锦绣江山（满25平起拍） 锦绣江山,259.00 ,9.33,9.31,9.27,9.38,生活家（ELEGANTLIVING）,24.0kg,平口,18mm,实木地板,生活家地板旗舰店,0,1,0,0
生活家巴洛克实木复合木地板防水除甲醛厂家直销 15mm白栎橡木色（满25平起拍）,258.00 ,9.33,9.31,9.27,9.38,生活家（ELEGANTLIVING）,23.0kg,平口,15mm,实木复合地板,生活家地板旗舰店,0,1,1,0
生活家地板 18mm实木地板 白栎 室内地板 厂家直销黄金麦田（满25平起拍）,498.00 ,9.33,9.31,9.27,9.38,生活家（ELEGANTLIVING）,24.0kg,平口,18mm,实木地板,生活家地板旗舰店,0,0,0,0
生活家地板 18mm实木地板 橡木 室内地板 黄金麦田,698.00 ,9.82,9.77,9.78,9.78,生活家,25.0kg,其他,18mm,实木地板,道新家居专营店,0,0,0,0
生活家地板 18mm橡木纯实木地板 实木地板厂家直销 麦加圣地（满25平起拍） 麦加圣地,428.00 ,9.33,9.31,9.27,9.38,生活家（ELEGANTLIVING）,24.0kg,平口,18mm,实木地板,生活家地板旗舰店,0,1,0,0
生活家地板 多层实木复合木地板 15mm地热地板 桃花芯色,336.00 ,9.82,9.77,9.78,9.78,生活家,22.5kg,平口,15mm,实木复合地板,道新家居专营店,0,1,0,0
生活家地板 强化复合木地板 环保耐磨地热地板 自由风情+安装费用,129.00 ,9.82,9.77,9.78,9.78,生活家,11.6kg,单锁口,12mm,强化复合地板,道新家居专营店,0,9,0,0
生活家地板 实木多层复合木地板 15mm地热地板 霞飞丽影 霞飞丽影,239.00 ,9.82,9.77,9.78,9.78,生活家,22.5kg,平口,15mm,实木复合地板,道新家居专营店,0,2,0,0
生活家复合实木地板12mm仿古耐磨多层桦木地板 淮南之春（满25平起拍）,159.00 ,9.33,9.31,9.27,9.38,生活家（ELEGANTLIVING）,23.0kg,平口,12mm,实木复合地板,生活家地板旗舰店,0,40,0,0
圣枫 地板 木地板 家用木地板 强化复合12mm锁扣地板 防水 耐磨 环保木地板 金色麦田-平面亮光SF6010,178.00 ,9.73,9.73,9.69,9.69,圣枫,22.0kg,单锁口,12mm,强化复合地板,惠丰家居专营店,122,400,0,0
圣弗莱地板 强化复合木地板11mm船做旧复古酒吧个性彩色朽木防水环保厂家直销 18810,52.00 ,9.26,9.25,9.38,9.15,圣弗莱,20.0kg,单锁口,12mm,强化复合地板,圣弗莱地板官方旗舰店,0,0,0,0
圣象地板 NF7121强化复合布纹面木地板7mm厚雅致超耐磨 NF7121预计两个月后发货,66.00 ,9.38,9.26,9.39,9.46,圣象,6.0kg,V型槽,7mm,强化复合地板,圣象伍财专卖店,0,0,0,0
圣象地板 多层实木复合木地板NAP9813手刮仿古地板可地热家装地板 NAP9813预计两个月内发货,178.00 ,9.38,9.26,9.39,9.46,圣象,6.0kg,平口,15mm,实木复合地板,圣象伍财专卖店,0,0,0,0
圣象地板 强化复合木地板F4星环保四面V槽 NDF2111家装建材地板 NDF2111预计两个月内发货,98.00 ,9.38,9.26,9.39,9.46,圣象,6.0kg,V型槽,10mm,强化复合地板,圣象伍财专卖店,0,0,0,0
圣象地板 现代时尚木地板 多层实木复合地板NAN8175 NAN8175预计1-2个月安装,248.00 ,9.38,9.26,9.39,9.46,圣象,20.0kg,平口,15mm,实木复合地板,圣象伍财专卖店,0,0,0,0
圣象地板F4星级环保强化复合木地板NDY2113瓦尔登湖平面四面v槽耐磨11mm厚 NDY2113预计1-2个月安装,106.00 ,9.38,9.26,9.39,9.46,圣象,20.0kg,V型槽,,强化复合地板,圣象伍财专卖店,0,0,0,0
圣象地板F4星级环保强化复合木地板NDY2195加德满都风铃平面耐磨11mm厚 NDY2195预计1-2个月安装,106.00 ,9.38,9.26,9.39,9.46,圣象,20.0kg,V型槽,,强化复合地板,圣象伍财专卖店,0,0,0,0
圣象地板F4星级环保强化复合木地板平面耐磨11mm厚度厂家直销NDY2192 NDY2192 预计2个月内安装,106.00 ,9.38,9.26,9.39,9.46,圣象,2.0kg,其他,,强化复合地板,圣象伍财专卖店,0,1,0,0
"圣象地板F4星强化复合地板橡木花纹木地板适用地暖家用耐磨I级NT2都会系列厂家直供小浮雕面 NT2311	鎏金都会预计1-2个月安装",98.00 ,9.38,9.26,9.39,9.46,圣象,20.0kg,V型槽,,强化复合地板,圣象伍财专卖店,1,7,0,1
圣象地板多层实木地板三层实木复合卧室木地板客厅地暖15mm 拿铁橡木NK8562裸板价,368.00 ,9.76,9.78,9.85,9.84,圣象（Power Dekor）,20.0kg,其他,15mm,实木复合地板,弘软家装建材专营店,0,0,0,0
圣象地板多层实木复合地板多客厅地板卧室木地板地暖15mm 轻琴CN8193裸板价,218.00 ,9.76,9.78,9.85,9.84,圣象（Power Dekor）,20.0kg,平口,15mm,实木复合地板,弘软家装建材专营店,0,0,0,0
圣象地板强化复合地板F卫士家用耐磨I级系列木地板F4星环保V槽厂家直供适用地暖 NF1101静谧生活预计1-2个月安装,86.00 ,9.38,9.26,9.39,9.46,圣象,20.0kg,V型槽,10mm,强化复合地板,圣象伍财专卖店,13,10,0,0
圣象地板强化复合木地板F4星环保V槽客厅卧室地板 NF1101预计1-2个月安装,99.00 ,9.76,9.78,9.85,9.84,圣象（Power Dekor）,20.0kg,V型槽,10mm,强化复合地板,弘软家装建材专营店,0,0,0,0
圣象地板强化复合木地板F4星级环保11mm厚度NDD6115梦旅人地暖耐磨客厅卧室精选 NDD6115预计1-2个月安装,106.00 ,9.38,9.26,9.39,9.46,圣象,20.0kg,V型槽,,强化复合地板,圣象伍财专卖店,0,2,0,0
圣象地板强化复合木地板F4星级环保耐磨防滑地板11mm厚 NDD6217预计2个月后安装,109.00 ,9.76,9.78,9.85,9.84,圣象（Power Dekor）,20.0kg,其他,,强化复合地板,弘软家装建材专营店,0,0,0,0
圣象地板强化复合木地板适用地暖F4星级环保11mm厚度NDD6215秋日童话上市 NDD6215预计1-2个月安装,106.00 ,9.38,9.26,9.39,9.46,圣象,20.0kg,V型槽,,强化复合地板,圣象伍财专卖店,0,1,0,0
圣象地板卧室客厅木地板多层实木复合地板地暖15mm 比尔摩庄园NAN8171全包价,269.00 ,9.59,9.54,9.59,9.6,圣象,20.0kg,平口,15mm,实木复合地板,圣象地板旗舰店,0,1,0,1
圣象地板卧室木地板耐磨客厅强化复合地板环保家用地暖F4星级 加德满都风铃NDY2195全包价,138.00 ,9.59,9.54,9.59,9.6,圣象,20.0kg,V型槽,,强化复合地板,圣象地板旗舰店,2,2,1,1
圣象康逸三层实木复合地板摩卡橡木自带龙骨客厅卧室木地板15mm 摩卡橡木NK1008裸板价,318.00 ,9.59,9.54,9.59,9.6,圣象,20.0kg,双锁口,15mm,实木复合地板,圣象地板旗舰店,0,0,0,0
圣象康逸三层实木复合木地板NK8325北极枫木3.3mm适地暖耐腐耐 NK8325预计1-2个月安装,319.00 ,9.76,9.78,9.85,9.84,圣象（Power Dekor）,40.0kg,其他,15mm,实木复合地板,弘软家装建材专营店,0,0,0,0
"圣象康逸自带龙骨的栎木地板三层实木复合NK8552手刮仿古可地暖30年质保 NK8552	黄金年代预计3-4个月安装",318.00 ,9.38,9.26,9.39,9.46,圣象,20.0kg,其他,15mm,实木地板,圣象伍财专卖店,0,0,0,0
"圣象康逸自带龙骨三层实木复合木地板NK1007蓝山橡木3.3MM表层抗变形15mm厚可地暖 NK1007	蓝山橡木预计1-2个月安装",318.00 ,9.38,9.26,9.39,9.46,圣象,20.0kg,平口,15mm,实木地板,圣象伍财专卖店,2,5,0,0
圣象木地板F4星级环保强化复合地板客厅卧室地板 城市之光NDY2116裸板价,109.00 ,9.76,9.78,9.85,9.84,圣象（Power Dekor）,20.0kg,V型槽,,强化复合地板,弘软家装建材专营店,0,0,0,0
圣象木地板多层实木地板客厅地暖卧室F4星沙比利复合地板12mm 伊亚沙比利NP4663全包价,199.00 ,9.59,9.54,9.59,9.6,圣象,20.0kg,其他,12mm,实木复合地板,圣象地板旗舰店,2,2,0,0
圣象木地板多层实木复合地板客厅卧室地暖室内地板15mm 春光乍泄NAP9816裸板价,245.00 ,9.59,9.54,9.59,9.6,圣象,20.0kg,平口,15mm,实木复合地板,圣象地板旗舰店,3,3,0,0
圣象木地板多层实木复合地板客厅卧室地暖室内地板15mm 花样年华NAP9813裸板价,185.00 ,9.59,9.54,9.59,9.6,圣象,20.0kg,平口,15mm,实木复合地板,圣象地板旗舰店,8,70,1,3
圣象木地板多层实木复合地板卧室地暖客厅地板15mm 花样年华NAP9813全包价,206.00 ,9.59,9.54,9.59,9.6,圣象,20.0kg,平口,15mm,实木复合地板,圣象地板旗舰店,4,100,1,1
圣象木地板环保复合地板客厅强化地板卧室地暖地板 依云小镇NDD5113裸板价,85.00 ,9.76,9.78,9.85,9.84,圣象（Power Dekor）,20.0kg,其他,其他,强化复合地板,弘软家装建材专营店,5,200,0,0
圣象木地板客厅卧室强化地板环保家用地暖复合地板F4星级 城市之光NDY2116全包价,138.00 ,9.59,9.54,9.59,9.6,圣象,20.0kg,V型槽,,强化复合地板,圣象地板旗舰店,2,6,0,1
圣象木地板实木复合地板多层客厅卧室地暖室内地板15mm 春光乍现NAP9816裸板价,198.00 ,9.76,9.78,9.85,9.84,圣象（Power Dekor）,20.0kg,平口,15mm,实木复合地板,弘软家装建材专营店,0,0,0,0
圣象木地板自带龙骨三层实木复合地板家用客厅卧室地暖地板15mm 落日红韵NK1005全包价,339.00 ,9.59,9.54,9.59,9.6,圣象,20.0kg,双锁口,15mm,实木复合地板,圣象地板旗舰店,1,1,0,0
圣象木地板自带龙骨卧室地板三层实木复合地板手刮仿古客厅地暖15mm 黄金盛世NK8553全包价,336.00 ,9.59,9.54,9.59,9.6,圣象,20.0kg,其他,15mm,实木地板,圣象地板旗舰店,5,0,2,1
圣象强化复合地板F4星环保木地板双拼橡木系列客厅卧室地板 NT3111预计1-2个月后安装,118.00 ,9.76,9.78,9.85,9.84,圣象（Power Dekor）,22.0kg,V型槽,,强化复合地板,弘软家装建材专营店,0,0,0,0
实木地板 实木复合地板 强化复合地板样板 1元抵扣50元 限购1件 样板 10-20MM长度,1.00 ,-----,-----,-----,-----,和邦盛世（HOMONISIA）,1.0kg,普槽,12mm,其他材质地板,和邦盛世家居旗舰店,0,0,0,0
书香门地北美黑核桃15mm高端多层实木地板 实木复合地板 美学地板 适合地暖 蝴蝶树之夜,238.00 ,9.5,9.23,9.63,9.42,书香门地（arte mundi）,19.0kg,平口,15mm,实木复合地板,书香门地旗舰店,0,5,0,0
书香门地防腐耐磨防水强化地板 复合木地板 适合地暖 坦那亚湖律动003,98.00 ,9.5,9.23,9.63,9.42,书香门地（arte mundi）,23.0kg,单锁口,12mm,强化复合地板,书香门地旗舰店,0,100,0,0
书香门地桦木15mm经典百搭多层实木地板 实木复合地板 美学地板 适合地暖 弗雷斯诺001,238.00 ,9.5,9.23,9.63,9.42,书香门地（arte mundi）,19.0kg,平口,15mm,实木复合地板,书香门地旗舰店,0,100,0,1
书香门地桦木15mm耐磨典雅多层实木地板 实木复合地板 美学地板 适合地暖 圣荷西002,238.00 ,9.5,9.23,9.63,9.42,书香门地（arte mundi）,19.0kg,平口,15mm,实木复合地板,书香门地旗舰店,0,3,0,0
书香门地环保防腐耐磨防水强化地板 复合木地板 适合地暖 坦那亚湖律动002,88.00 ,9.5,9.23,9.63,9.42,书香门地（arte mundi）,23.0kg,单锁口,12mm,强化复合地板,书香门地旗舰店,0,100,0,0
书香门地环保耐磨防水强化地板 复合木地板 适合地暖 坦那亚湖律动005,98.00 ,9.5,9.23,9.63,9.42,书香门地（arte mundi）,23.0kg,单锁口,12mm,强化复合地板,书香门地旗舰店,0,100,0,0
书香门地老榆木15mm复古多层实木地板 实木复合地板 美学地板 适合地暖 弗雷斯诺005,219.00 ,9.5,9.23,9.63,9.42,书香门地（arte mundi）,19.0kg,平口,15mm,实木复合地板,书香门地旗舰店,0,0,0,0
书香门地橡木15mm耐磨多层实木地板 实木复合地板 美学地板 适合地暖 加利福尼亚001,268.00 ,9.5,9.23,9.63,9.42,书香门地（arte mundi）,19.0kg,R型槽,15mm,实木复合地板,书香门地旗舰店,0,40,0,0
书香门地橡木15mm时尚百搭实木复合地板 多层实木地板 美学地板 适合地暖 倾听林风003,268.00 ,9.5,9.23,9.63,9.42,书香门地（arte mundi）,19.0kg,平口,15mm,实木复合地板,书香门地旗舰店,0,3,0,0
书香门地橡木15mm时尚多层实木地板 实木复合地板 美学地板 适合地暖 夏洛特01,218.00 ,9.5,9.23,9.63,9.42,书香门地（arte mundi）,10.0kg,平口,15mm,实木复合地板,书香门地旗舰店,0,0,0,0
书香门地橡木15mm时尚唯美高端多层实木地板 实木复合地板 美学地板 适合地暖 麦斯德之秋,288.00 ,9.5,9.23,9.63,9.42,书香门地（arte mundi）,19.0kg,平口,15mm,实木复合地板,书香门地旗舰店,0,2,0,0
书香门地橡木15mm时尚唯美高端多层实木地板 实木复合地板 美学地板 适合地暖 云河之夕,288.00 ,9.5,9.23,9.63,9.42,书香门地（arte mundi）,19.0kg,平口,15mm,实木复合地板,书香门地旗舰店,0,5,0,0
书香门地榆木15mm经典多层实木地板 实木复合地板 美学地板 适合地暖 弗雷斯诺002,238.00 ,9.5,9.23,9.63,9.42,书香门地（arte mundi）,19.0kg,平口,15mm,实木复合地板,书香门地旗舰店,0,0,0,0
书香门地榆木15mm耐磨实木复合地板 多层实木地板 美学地板 适合地暖 弗雷斯诺003,219.00 ,9.5,9.23,9.63,9.42,书香门地（arte mundi）,19.0kg,平口,15mm,实木复合地板,书香门地旗舰店,0,0,0,0
顺洋 橡木地板多层实木复合地板大板厂家直销出口地板,449.00 ,9.42,9.49,9.44,9.39,顺洋地板（SHUNYANG FLOOR）,10.0kg,平口,15mm,实木复合地板,顺洋地板旗舰店,0,0,0,0
顺洋地板 欧橡多层实木地板 厂家直销支持定制 SYDS6003,559.00 ,9.42,9.49,9.44,9.39,顺洋地板（SHUNYANG FLOOR）,50.0kg,平口,15mm,实木复合地板,顺洋地板旗舰店,0,0,0,0
顺洋欧橡实木多层复合木地板15mm 拉丝木蜡油环保 地暖别墅高端定制欧美风格原生印记 SYDS6008,429.00 ,9.42,9.49,9.44,9.39,顺洋地板（SHUNYANG FLOOR）,50.0kg,平口,15mm,实木复合地板,顺洋地板旗舰店,0,0,0,0
